name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Unbroken,Steam,2025-02-20,0.0,0,0,74,0,PC,"Indie, Adventure, Action, RPG"
Bad Dream: Afterlife,Steam,2025-10-10,0.0,0,0,113,0,PC,"Indie, Adventure"
Junji Ito Maniac: An Infinite Gaol,Steam,2025-11-11,0.0,0,0,0,0,PC,"Adventure, Action"
Ambrosia Sky: Act One,Steam,2025-11-10,0.0,0,0,488,0,PC,"Adventure, Action, Simulation"
GIGASWORD,"Steam, GOG",2025-11-13,0.0,0,0,332,0,PC,"Indie, Adventure, Action"
我的26岁女房客：在云端(My 26-Year-Old Female Tenant),Steam,2025-11-12,0.0,0,0,0,0,PC,"Indie, Adventure, RPG"
Sex Wishes 🔮,Steam,2025-11-15,0.0,0,0,573,0,PC,"Casual, Indie, Adventure, Simulation"
GRADIUS ORIGINS,Steam,2025-08-06,0.0,0,0,172,0,PC,Action
Click to Punch,Steam,2025-05-16,0.0,0,0,80,0,PC,"Indie, Simulation"
Whispered Secrets: Cursed Wealth Collector's Edition,Steam,2025-06-27,0.0,0,0,307,0,"PC, Apple Macintosh","Casual, Adventure"
Kingdom Ascension,Steam,2025-07-18,0.0,0,1,336,1,PC,"Casual, Indie, Strategy, Adventure"
GOD FORSAKEN,Steam,2025-10-22,0.0,0,1,549,1,PC,"Indie, Strategy, Adventure, Action"
MERRY BUNNY GARDEN,Steam,2025-10-08,0.0,0,0,373,0,PC,"Casual, Indie, Adventure, Action"
King of Bones,Steam,2025-06-26,0.0,0,0,536,0,PC,"Indie, Action, Simulation"
Love is All Around 2,Steam,2025-07-16,0.0,0,0,524,0,"PC, Apple Macintosh","Adventure, RPG, Casual, Strategy, Simulation, Indie"
Life with a Homunculus,Steam,2025-08-29,0.0,0,0,186,0,PC,"Indie, Adventure, RPG, Simulation"
Corporate Slave Succubus,Steam,2025-10-24,0.0,0,0,292,0,PC,"Adventure, RPG"
BLACK SOULS,Steam,2025-08-15,0.0,0,0,0,0,PC,"Indie, Adventure, RPG"
Strongest☆Angel Zerachiel!,Steam,2025-03-28,0.0,0,0,138,0,PC,"Indie, Adventure, RPG"
My wife s cheating on me,Steam,2025-01-03,0.0,0,1,0,1,,Action
The Rangers In The South,Steam,2025-01-09,0.0,0,0,203,0,PC,"Indie, Action, RPG"
A Coloring Break,Steam,2025-01-17,0.0,0,0,0,0,PC,"Casual, Indie, Simulation"
公主与利刃,Steam,2025-01-27,0.0,0,0,0,1,,Action
I Wanna Fuck my Busty Boss,Steam,2025-01-10,0.0,0,1,212,1,"PC, Apple Macintosh, Linux",Casual
PEXIT 8,Steam,2025-02-10,0.0,0,0,57,0,PC,"Indie, Adventure"
Mirrored Phantoms,Steam,2025-02-24,0.0,0,0,461,0,"PC, Linux",Indie
Spring Adventure,Steam,2025-02-18,0.0,0,0,0,0,PC,"Adventure, Action"
Vampire Nights: Horny Secret,Steam,2025-02-14,0.0,0,1,125,1,PC,"Indie, RPG, Simulation"
Adult Education,Steam,2025-03-21,0.0,0,1,18,1,"PC, Apple Macintosh, Linux","Adventure, Action, RPG, Casual, Simulation, Indie"
Harder,Steam,2025-03-06,0.0,0,0,0,0,PC,"Adventure, Action"
Hidden Tomatoes 3,Steam,2025-02-08,0.0,0,1,0,1,PC,"Casual, Indie"
SuperSorry,Steam,2025-01-20,0.0,0,0,125,0,PC,"Casual, Indie, Action, Simulation"
Slumbering Feline,Steam,2025-03-06,0.0,0,0,0,0,"PC, Linux","Casual, Adventure"
Ligo,Steam,2025-03-04,0.0,0,0,0,0,PC,"Indie, Adventure"
My Maid Master,,2025-02-14,0.0,0,1,24,1,,Action
Living with temptation: American sunset,Steam,2025-01-23,0.0,0,1,466,1,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure, RPG"
The Future is Ours,Steam,2025-02-24,0.0,0,0,0,0,PC,Adventure
A Night With Angel,Steam,2025-01-31,0.0,0,0,75,0,PC,Casual
Caught Lacking - Femboy Edition,Steam,2025-02-14,0.0,0,0,166,0,PC,Adventure
Templar,Steam,2025-01-14,0.0,0,0,0,0,"PC, Linux","Casual, Indie, Adventure, Action"
Paw Pirates,Steam,2025-01-16,0.0,0,0,174,0,"PC, Apple Macintosh","Casual, Indie, Adventure"
Axios Football,Steam,2025-03-07,0.0,0,0,81,0,PC,"Action, Simulation, Sports"
Subway Exorcist Girl,Steam,2025-01-25,0.0,0,0,0,0,PC,"Indie, Adventure, RPG"
Skystead Christmas,Steam,2025-01-07,0.0,0,1,105,1,PC,"Casual, Indie"
Voxile,Steam,2025-03-10,0.0,0,0,253,0,PC,"Indie, Action, RPG"
Turtle Riders,Steam,2025-03-23,0.0,0,1,0,1,PC,"Strategy, Indie, Action"
EscapeGameShow: THE TIMELINE,Steam,2025-03-18,0.0,0,0,171,0,PC,Adventure
Trapventure,Steam,2025-03-20,0.0,0,0,0,0,PC,"Indie, Adventure, Action"
Hermes' Runner,Steam,2025-03-19,0.0,0,0,159,0,PC,"Indie, Adventure"
Wildcat Snack Attack,Steam,2025-03-23,0.0,0,0,0,0,PC,"Casual, Action"
Bolsheviktion 3D,Steam,2025-04-03,0.0,0,0,215,0,"PC, Apple Macintosh, Linux",Action
ابو فانوس - Abu Fanous,Steam,2025-02-17,0.0,0,0,215,0,PC,"Indie, Adventure"
Interactive Sex - Incest Twins,Steam,2025-01-03,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Casual, Indie, Simulation"
Cosmobreeder Yiffai,Steam,2025-04-24,0.0,0,0,47,0,PC,"Indie, Adventure, Action"
Veins of DARKNESS,Steam,2025-03-21,0.0,0,0,131,0,PC,"Indie, Adventure, Action"
Lurking Danger,Steam,2025-03-31,0.0,0,0,205,0,PC,"Adventure, Action"
Cast & Spell,Steam,2025-04-18,0.0,0,0,233,0,PC,"Indie, Massively Multiplayer, Action"
Part Of My Heart,Steam,2025-04-24,0.0,0,0,105,0,PC,"Casual, Indie, Simulation"
Hamster Hunter: Rodent Rampage,Steam,2025-04-24,0.0,0,0,196,0,PC,Action
Trump Tariff,Steam,2025-02-21,0.0,0,0,179,0,PC,"Indie, Adventure"
Pakicetus Redux,Steam,2025-04-11,0.0,0,0,335,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Action"
waxweaver,Steam,2025-04-10,0.0,0,0,0,0,PC,"Adventure, RPG, Casual, Simulation, Indie"
Crazy Cars,Steam,2025-04-07,0.0,0,0,0,0,PC,"Racing, Action"
Scarred,Steam,2025-04-16,0.0,0,0,0,0,PC,"Indie, Adventure"
Lawnmower Game: Survival,Steam,2025-02-26,0.0,0,0,31,0,PC,"Racing, Indie"
Wet City,Steam,2025-03-28,0.0,0,1,0,1,"PC, Apple Macintosh","Indie, Strategy, Adventure, Simulation"
Plangman,Steam,2025-03-26,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Action"
DEAD LETTER DEPT.,Steam,2025-01-30,0.0,0,1,82,1,"PC, Linux",Indie
Siberian Way,Steam,2025-03-04,0.0,0,0,0,0,PC,"Indie, Adventure"
Bare Knuckle Sandwich,Steam,2025-04-09,0.0,0,0,153,0,PC,"Indie, Adventure, Action"
Kiloton,Steam,2025-02-21,0.0,0,0,0,0,"PC, Apple Macintosh","Strategy, Simulation"
Kawaii -Ryona Trap Dungeon,Steam,2025-05-01,0.0,0,1,0,1,PC,"Casual, Indie"
Gunswitch,Steam,2025-05-19,0.0,0,0,510,0,PC,"Indie, Adventure, Action, RPG"
Sweep,Steam,2025-04-11,0.0,0,0,350,0,PC,"Strategy, Indie, RPG"
Block Shop,Steam,2025-02-17,0.0,0,0,0,0,PC,"Casual, Strategy, Indie"
Pretty Buttons,Steam,2025-05-21,0.0,0,1,61,1,PC,"Casual, Indie, Simulation"
Soccermania RELEASED!,,2025-03-22,0.0,0,1,0,1,PC,Sports
Skufs VS Quadrobers,Steam,2025-01-30,0.0,0,1,218,1,PC,"Indie, Action"
What The Hack!,Steam,2025-08-22,0.0,0,0,122,0,PC,"Casual, Indie, Adventure, Action"
Finnish Cottage 8,Steam,2025-03-06,0.0,0,0,136,0,PC,"Indie, Adventure, Simulation"
Polytopia,Steam,2025-06-30,0.0,0,0,0,0,PC,"Adventure, Action, RPG"
Grand Emprise 2: Portals Apart,Steam,2025-08-05,0.0,0,1,159,1,PC,"Adventure, Action, RPG, Simulation, Indie"
Machick 2,Steam,2025-09-10,0.0,0,0,0,1,PC,"Indie, Action, RPG"
The Trolley Solution,Steam,2025-09-12,0.0,0,0,0,0,PC,"Casual, Indie, Adventure, Action"
WorldNeverland - Daily Life in the Elnea Kingdom - Another Life Adventure,Steam,2025-01-14,0.0,0,1,97,1,PC,"Indie, RPG, Simulation"
101 Cats Hidden in Thailand,Steam,2025-03-11,0.0,0,1,54,1,PC,"Casual, Indie"
LiDAR Exploration Program,Steam,2025-04-02,0.0,0,0,380,0,PC,"Indie, Adventure"
Joyquarium,Steam,2025-03-27,0.0,0,0,165,0,PC,"Casual, Indie, Simulation"
hololive Holo's Hanafuda,Steam,2025-07-30,0.0,0,0,0,0,PC,"Casual, Adventure"
Detective Dotson,Steam,2025-04-24,0.0,0,0,196,0,"PC, Apple Macintosh, Linux","Casual, Adventure"
Who's Next?,Steam,2025-02-27,0.0,0,0,233,0,PC,"Casual, Indie, Strategy, Massively Multiplayer"
Marisa of Liartop Mountain,Steam,2025-09-18,0.0,0,0,347,0,PC,RPG
The Spike Cross,Steam,2025-09-19,0.0,0,0,198,0,PC,"Action, Casual, Simulation, Sports, Indie"
Memory Lost,Steam,2025-03-06,0.0,0,0,0,0,PC,"Indie, Adventure, Action"
Awita: Journey of Hope,Steam,2025-06-18,0.0,0,0,423,0,"PC, Linux","Indie, Adventure, Action"
Stellar Command,Steam,2025-04-21,0.0,0,1,99,1,PC,"Casual, Strategy, Indie, Action"
For Her,Steam,2025-04-07,0.0,0,0,0,0,PC,"Casual, Indie, Adventure"
Lord Ambermaze,"Steam, GOG",2025-09-17,0.0,0,0,211,0,PC,"Indie, Strategy, Adventure, Action"
LUST Eternal 🔞,Steam,2025-05-10,0.0,0,1,528,1,PC,"Casual, Adventure, Action"
Insects Awaken,Steam,2025-05-21,0.0,0,1,474,1,PC,"Casual, Indie, Adventure, RPG"
Я беременна в 16,Steam,2025-03-24,0.0,0,0,152,0,"PC, Apple Macintosh","Casual, Indie, RPG"
Very Unserious Game,Steam,2025-05-30,0.0,0,0,0,0,PC,"Casual, Adventure, RPG, Simulation"
Flavors of Desires,Steam,2025-03-27,0.0,0,0,218,0,"PC, Linux","Adventure, Action, RPG, Casual, Indie"
Brány Skeldalu,Steam,2025-04-30,0.0,0,0,261,0,PC,RPG
Trials of Innocence,Steam,2025-03-25,0.0,0,1,186,1,PC,"Adventure, RPG, Casual, Simulation, Indie"
Rusty Rangers,Steam,2025-07-31,0.0,0,1,50,1,PC,"Indie, Adventure, Action"
Condo,Steam,2025-06-24,0.0,0,0,0,0,"PC, Apple Macintosh","Indie, Adventure"
ESCAPE FROM TIMOKHA 2: ARMY,Steam,2025-06-20,0.0,0,0,0,0,PC,"Indie, Adventure, Action"
Vinebound: Tangled Together,Steam,2025-04-17,0.0,0,0,0,0,PC,"Indie, Action"
